127.0.0.1 - - [28/Feb/2019:21:54:22 -0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:23 -0800] "GET /Employee/index.jsp HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:23 -0800] "GET /Employee/images/Employee-Database-Management-System.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:24 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:30 -0800] "GET /Employee/AddEmployee.jsp HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:30 -0800] "GET /Employee/images/add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:32 -0800] "POST /Employee/AddEmployee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:32 -0800] "GET /Employee/error.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:32 -0800] "GET /Employee/images/tryagain.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:34 -0800] "GET /Employee/index.jsp HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:36 -0800] "GET /Employee/updateemployee.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:36 -0800] "GET /Employee/images/update.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:37 -0800] "POST /Employee/UpdateEmployee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:37 -0800] "GET /Employee/error.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:39 -0800] "GET /Employee/index.jsp HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:41 -0800] "GET /Employee/deleteemployee.jsp HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:41 -0800] "GET /Employee/images/delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:42 -0800] "POST /Employee/DeleteEmployee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:42 -0800] "GET /Employee/error.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:44 -0800] "GET /Employee/index.jsp HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:45 -0800] "GET /Employee/deleteemployee.jsp HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:54:50 -0800] "GET /Employee/index.jsp HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:55:14 -0800] "GET /Employee/showemployee.jsp HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:55:14 -0800] "GET /Employee/images/search.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:55:19 -0800] "GET /Employee/ShowEmployee?id=200 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:55:19 -0800] "GET /Employee/error.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:55:21 -0800] "GET /Employee/index.jsp HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:57:29 -0800] "GET /Employee/index.jsp HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:57:34 -0800] "GET /Employee/AddEmployee.jsp HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:58:26 -0800] "GET /Employee/AddEmployee.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:58:26 -0800] "GET /Employee/AddEmployee.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:58:26 -0800] "GET /Employee/AddEmployee.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:58:26 -0800] "GET /Employee/AddEmployee.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:58:26 -0800] "GET /Employee/AddEmployee.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:58:27 -0800] "GET /Employee/AddEmployee.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [28/Feb/2019:21:58:27 -0800] "GET /Employee/AddEmployee.jsp HTTP/1.1" 200 797
